"Story","Title","Result","Date","Stability","Duration (s)"
"Get Statistic","As an admin I can get statistic with a valid path","SUCCESS","2023-12-18T11:06:31.062835+07:00[Asia/Jakarta]","0.0","6.9"
"Get Statistic","As an admin I can't get statistic without path","SUCCESS","2023-12-18T11:06:38.030788+07:00[Asia/Jakarta]","0.0","1.22"
"Get Total Payment","As an admin I can get total payment with a valid path","SUCCESS","2023-12-18T11:06:39.279238+07:00[Asia/Jakarta]","0.0","1.75"
"Get Total Payment","As an admin I can't get total payment without path","SUCCESS","2023-12-18T11:06:41.075089+07:00[Asia/Jakarta]","0.0","1.23"
"Get Transaction Report","As an admin I can get transaction report with a valid path","SUCCESS","2023-12-18T11:06:42.335282+07:00[Asia/Jakarta]","0.0","1.99"
"Get Transaction Report","As an admin I can't get transaction report without path","SUCCESS","2023-12-18T11:06:44.357421+07:00[Asia/Jakarta]","0.0","1.17"
"Recent Customer","As an admin I can recent customer with a valid path","SUCCESS","2023-12-18T11:06:45.54494+07:00[Asia/Jakarta]","0.0","2.19"
"Recent Customer","As an admin I can't recent customer without path","SUCCESS","2023-12-18T11:06:47.74382+07:00[Asia/Jakarta]","0.0","1.25"
"Delete User By ID","As an admin I can delete user by ID with a valid path","SUCCESS","2023-12-18T11:06:49.009549+07:00[Asia/Jakarta]","0.0","1.95"
"Delete User By ID","As an admin I can't delete user by ID without path","SUCCESS","2023-12-18T11:06:50.97989+07:00[Asia/Jakarta]","0.0","1.16"
"Delete User By ID","As an admin I can't delete user by ID with invalid ID","SUCCESS","2023-12-18T11:06:52.156154+07:00[Asia/Jakarta]","0.0","1.33"
"Get List Transaction User","As an admin I can get list transaction user with a valid path","SUCCESS","2023-12-18T11:06:53.503108+07:00[Asia/Jakarta]","0.0","2.02"
"Get List Transaction User","As an admin I can't get list transaction user without path","SUCCESS","2023-12-18T11:06:55.539572+07:00[Asia/Jakarta]","0.0","1.1"
"Get Transaction Detail User","As an admin I can get transaction detail user with a valid path","SUCCESS","2023-12-18T11:06:56.666008+07:00[Asia/Jakarta]","0.0","2.21"
"Get Transaction Detail User","As an admin I can't get transaction detail user without path","SUCCESS","2023-12-18T11:06:58.889199+07:00[Asia/Jakarta]","0.0","1.15"
"Get User By ID","As an admin I can get user by ID with a valid path","SUCCESS","2023-12-18T11:07:00.061071+07:00[Asia/Jakarta]","0.0","1.29"
"Get User By ID","As an admin I can't get user by ID without path","SUCCESS","2023-12-18T11:07:01.365456+07:00[Asia/Jakarta]","0.0","1.22"
"Get User By ID","As an admin I can't get user by ID with invalid ID","SUCCESS","2023-12-18T11:07:02.594832+07:00[Asia/Jakarta]","0.0","1.24"
"Get User List","As an admin I can get user list with a valid path","SUCCESS","2023-12-18T11:07:03.84159+07:00[Asia/Jakarta]","0.0","1.33"
"Get User List","As an admin I can't get user list without path","SUCCESS","2023-12-18T11:07:05.180112+07:00[Asia/Jakarta]","0.0","1.16"
"Create Warehouse Detail","As an admin I can create warehouse detail with a valid input","SUCCESS","2023-12-18T11:07:06.393554+07:00[Asia/Jakarta]","0.0","1.87"
"Create Warehouse Detail","As an admin I can't create warehouse detail without path","SUCCESS","2023-12-18T11:07:08.272532+07:00[Asia/Jakarta]","0.0","1.19"
"Create Warehouse Detail","As an admin I can't create warehouse detail if I don't fill in the create warehouse detail request","SUCCESS","2023-12-18T11:07:09.497422+07:00[Asia/Jakarta]","0.0","1.28"
"Delete Warehouse By ID","As an admin I can delete warehouse by ID with a valid path","SUCCESS","2023-12-18T11:07:10.790131+07:00[Asia/Jakarta]","0.0","1.91"
"Delete Warehouse By ID","As an admin I can't delete warehouse by ID without path","SUCCESS","2023-12-18T11:07:12.716875+07:00[Asia/Jakarta]","0.0","1.12"
"Delete Warehouse By ID","As an admin I can't delete warehouse by ID with invalid ID","SUCCESS","2023-12-18T11:07:13.852795+07:00[Asia/Jakarta]","0.0","1.5"
"Get Installment List Dashboard","As an admin I can get installment list dashboard  with a valid path","SUCCESS","2023-12-18T11:07:15.365534+07:00[Asia/Jakarta]","0.0","1.49"
"Get Installment List Dashboard","As an admin I can't get installment list dashboard without path","SUCCESS","2023-12-18T11:07:16.876357+07:00[Asia/Jakarta]","0.0","1.19"
"Get List Transaction Warehouse","As an admin I can get list transaction warehouse with a valid path","SUCCESS","2023-12-18T11:07:18.08458+07:00[Asia/Jakarta]","0.0","1.45"
"Get List Transaction Warehouse","As an admin I can't get list transaction warehouse without path","SUCCESS","2023-12-18T11:07:19.56127+07:00[Asia/Jakarta]","0.0","1.14"
"Get List Warehouse Type","As an admin I can get list warehouse type with a valid path","SUCCESS","2023-12-18T11:07:20.712821+07:00[Asia/Jakarta]","0.0","1.14"
"Get List Warehouse Type","As an admin I can't get list warehouse type without path","SUCCESS","2023-12-18T11:07:21.885342+07:00[Asia/Jakarta]","0.0","1.3"
"Get Reason","As an admin I can get reason with a valid path","SUCCESS","2023-12-18T11:07:23.19851+07:00[Asia/Jakarta]","0.0","1.46"
"Get Reason","As an admin I can't get reason without path","SUCCESS","2023-12-18T11:07:24.688354+07:00[Asia/Jakarta]","0.0","1.15"
"Import CSV Data Warehouse","As an admin I can import CSV data warehouse with a valid path","SUCCESS","2023-12-18T11:07:25.850308+07:00[Asia/Jakarta]","0.0","2.13"
"Import CSV Data Warehouse","As an admin I can't import CSV data warehouse without path","SUCCESS","2023-12-18T11:07:27.995545+07:00[Asia/Jakarta]","0.0","1.14"
"Import CSV Data Warehouse","As an admin I can't import CSV data warehouse if I don't fill in the import CSV data warehouse request","SUCCESS","2023-12-18T11:07:29.169145+07:00[Asia/Jakarta]","0.0","1.2"
